name	type	start_time	duration	data
Async Serial	data	31.649988172	0.00016493	0x00
Async Serial	data	31.650161816	0.00016493	0xB9
Async Serial	data	31.650335446	0.00016493	0x06
Async Serial	data	31.65050909	0.00016493	0x00
Async Serial	data	31.650682736	0.00016493	0x03
Async Serial	data	31.65085638	0.00016493	0x41
Async Serial	data	31.65103001	0.00016493	0x00
Async Serial	data	31.651203656	0.00016493	0x01
Async Serial	data	31.6513773	0.00016493	0x4C
Async Serial	data	31.651550946	0.00016493	0x55
Async Serial	data	31.652682512	0.00016493	0xFF
Async Serial	data	31.652856122	0.00016493	0xFF
Async Serial	data	31.653029732	0.00016493	0xFD
Async Serial	data	31.65320334	0.00016493	0x00
Async Serial	data	31.653376948	0.00016493	0xB9
Async Serial	data	31.653550556	0.00016493	0x04
Async Serial	data	31.653724164	0.00016493	0x00
Async Serial	data	31.653897772	0.00016493	0x55
Async Serial	data	31.654071382	0.00016493	0x00
Async Serial	data	31.65424499	0.00016493	0xE1
Async Serial	data	31.6544186	0.00016493	0x3B
Async Serial	data	31.85865281	0.00016493	0xFF
Async Serial	data	31.858826458	0.00016493	0xFF
Async Serial	data	31.859000104	0.00016493	0xFD
Async Serial	data	31.859173732	0.00016493	0x00
Async Serial	data	31.859347376	0.00016493	0xB9
Async Serial	data	31.859521022	0.00016493	0x06
Async Serial	data	31.859694666	0.00016493	0x00
Async Serial	data	31.859868294	0.00016493	0x03
Async Serial	data	31.86004194	0.00016493	0x41
Async Serial	data	31.860215586	0.00016493	0x00
Async Serial	data	31.86038923	0.00016493	0x00
Async Serial	data	31.86056286	0.00016493	0x49
Async Serial	data	31.860736506	0.00016493	0xD5
Async Serial	data	31.861880686	0.00016493	0xFF
Async Serial	data	31.862054294	0.00016493	0xFF
Async Serial	data	31.862227902	0.00016493	0xFD
Async Serial	data	31.862401512	0.00016493	0x00
Async Serial	data	31.862575118	0.00016493	0xB9
Async Serial	data	31.862748728	0.00016493	0x04
Async Serial	data	31.862922336	0.00016493	0x00
Async Serial	data	31.863095944	0.00016493	0x55
Async Serial	data	31.863269552	0.00016493	0x00
Async Serial	data	31.86344316	0.00016493	0xE1
Async Serial	data	31.86361677	0.00016493	0x3B
Async Serial	data	32.069383778	0.00016493	0xFF
Async Serial	data	32.069557426	0.00016493	0xFF
Async Serial	data	32.069731072	0.00016493	0xFD
Async Serial	data	32.0699047	0.00016493	0x00
Async Serial	data	32.070078344	0.00016493	0xB9
Async Serial	data	32.07025199	0.00016493	0x06
Async Serial	data	32.070425634	0.00016493	0x00
Async Serial	data	32.070599264	0.00016493	0x03
Async Serial	data	32.070772908	0.00016493	0x41
Async Serial	data	32.070946554	0.00016493	0x00
Async Serial	data	32.0711202	0.00016493	0x01
Async Serial	data	32.071293828	0.00016493	0x4C
Async Serial	data	32.071467474	0.00016493	0x55
Async Serial	data	32.072606608	0.00016493	0xFF
Async Serial	data	32.072780216	0.00016493	0xFF
Async Serial	data	32.072953826	0.00016493	0xFD
Async Serial	data	32.073127434	0.00016493	0x00
Async Serial	data	32.07330104	0.00016493	0xB9
Async Serial	data	32.07347465	0.00016493	0x04
Async Serial	data	32.073648258	0.00016493	0x00
Async Serial	data	32.073821866	0.00016493	0x55
Async Serial	data	32.073995476	0.00016493	0x00
Async Serial	data	32.074169084	0.00016493	0xE1
Async Serial	data	32.074342692	0.00016493	0x3B
Async Serial	data	32.27933335	0.00016493	0xFF
Async Serial	data	32.279506998	0.00016493	0xFF
Async Serial	data	32.279680644	0.00016493	0xFD
Async Serial	data	32.279854288	0.00016493	0x00
Async Serial	data	32.280027916	0.00016493	0xB9
Async Serial	data	32.280201562	0.00016493	0x06
Async Serial	data	32.280375206	0.00016493	0x00
Async Serial	data	32.280548852	0.00016493	0x03
Async Serial	data	32.28072248	0.00016493	0x41
Async Serial	data	32.280896126	0.00016493	0x00
Async Serial	data	32.281069772	0.00016493	0x00
Async Serial	data	32.281243416	0.00016493	0x49
Async Serial	data	32.281417046	0.00016493	0xD5
Async Serial	data	32.28255129	0.00016493	0xFF
Async Serial	data	32.2827249	0.00016493	0xFF
Async Serial	data	32.282898508	0.00016493	0xFD
Async Serial	data	32.283072116	0.00016493	0x00
Async Serial	data	32.283245724	0.00016493	0xB9
Async Serial	data	32.283419334	0.00016493	0x04
Async Serial	data	32.28359294	0.00016493	0x00
Async Serial	data	32.28376655	0.00016493	0x55
Async Serial	data	32.283940158	0.00016493	0x00
Async Serial	data	32.284113766	0.00016493	0xE1
Async Serial	data	32.284287376	0.00016493	0x3B
Async Serial	data	32.48952605	0.00016493	0xFF
Async Serial	data	32.48969968	0.00016493	0xFF
Async Serial	data	32.489873324	0.00016493	0xFD
Async Serial	data	32.49004697	0.00016493	0x00
Async Serial	data	32.490220614	0.00016493	0xB9
Async Serial	data	32.490394244	0.00016493	0x06
Async Serial	data	32.490567888	0.00016493	0x00
Async Serial	data	32.490741534	0.00016493	0x03
